GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
306904116,20140726,201407,2014,2014.5644,null,null,null,null,null,null,null,null,null,null,USA,MISSOURI,USA,null,null,null,null,null,null,null,1,043,043,04,1,2.8,13,2,11,3.41264119202115,0,null,null,null,null,null,null,2,"Missouri, United States",US,USMO,38.4623,-92.302,MO,2,"Missouri, United States",US,USMO,38.4623,-92.302,MO,20140726,http://www.dailycamera.com/news/ci_26216037/legal-pot-blamed-some-influx-homeless-this-summer
306914442,20140726,201407,2014,2014.5644,CHRMAY160,CHRISTIAN SCIENCE,null,null,null,CHR,null,null,null,null,USA,COLORADO,USA,null,null,null,null,null,null,null,0,130,130,13,3,-4.4,3,1,3,1.62790697674419,2,"Colorado, United States",US,USCO,39.0646,-105.327,CO,2,"Colorado, United States",US,USCO,39.0646,-105.327,CO,2,"Colorado, United States",US,USCO,39.0646,-105.327,CO,20140726,http://www.csmonitor.com/USA/Latest-News-Wires/2014/0726/More-young-homeless-in-Denver-drawn-by-legal-marijuana
306915144,20140726,201407,2014,2014.5644,COP,DEPUTY,null,null,null,null,null,COP,null,null,null,null,null,null,null,null,null,null,null,null,1,073,073,07,2,7.4,3,1,3,1.82648401826484,3,"Denver, Colorado, United States",US,USCO,39.7392,-104.985,201738,0,null,null,null,null,null,null,3,"Denver, Colorado, United States",US,USCO,39.7392,-104.985,201738,20140726,http://www.dailycamera.com/news/ci_26216037/legal-pot-blamed-some-influx-homeless-this-summer
306981694,20140726,201407,2014,2014.5644,USA,DENVER,USA,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,070,070,07,2,7.0,10,1,10,1.90839694656489,3,"Denver, Colorado, United States",US,USCO,39.7392,-104.985,201738,0,null,null,null,null,null,null,2,"Colorado, United States",US,USCO,39.0646,-105.327,CO,20140726,http://www.nydailynews.com/news/national/legal-pot-raises-homeless-numbers-denver-article-1.1881281
306984814,20140726,201407,2014,2014.5644,USA,UNITED STATES,USA,null,null,null,null,null,null,null,COP,DEPUTY,null,null,null,null,null,COP,null,null,1,073,073,07,2,7.4,2,1,2,1.82648401826484,3,"Denver, Colorado, United States",US,USCO,39.7392,-104.985,201738,3,"Denver, Colorado, United States",US,USCO,39.7392,-104.985,201738,3,"Denver, Colorado, United States",US,USCO,39.7392,-104.985,201738,20140726,http://www.dailycamera.com/news/ci_26216037/legal-pot-blamed-some-influx-homeless-this-summer
270503631,20131006,201310,2013,2013.7562,USA,UNITED STATES,USA,null,null,null,null,null,null,null,USACOP,SALT LAKE CITY,USA,null,null,null,null,COP,null,null,1,046,046,04,1,7.0,4,1,4,1.16896918172157,3,"Salt Lake City, , United States",US,US49,40.7608,-111.891,1454997,3,"Salt Lake City, , United States",US,US49,40.7608,-111.891,1454997,3,"Salt Lake City, , United States",US,US49,40.7608,-111.891,1454997,20131006,http://www.sltrib.com/sltrib/news/56893308-78/depression-drugs-homeless-illegal.html.csp
270504983,20131006,201310,2013,2013.7562,USACOP,SALT LAKE CITY,USA,null,null,null,null,COP,null,null,USA,UNITED STATES,USA,null,null,null,null,null,null,null,1,046,046,04,1,7.0,4,1,4,1.16896918172157,2,"Mississippi, United States",US,USMS,32.7673,-89.6812,MS,2,"Mississippi, United States",US,USMS,32.7673,-89.6812,MS,2,"Mississippi, United States",US,USMS,32.7673,-89.6812,MS,20131006,http://www.sltrib.com/sltrib/news/56893308-78/depression-drugs-homeless-illegal.html.csp
316836985,20141003,201410,2014,2014.7479,NGOHRIAMN,AMNESTY INTERNATIONAL,null,AMN,null,null,null,NGO,HRI,null,CVL,RESIDENTS,null,null,null,null,null,CVL,null,null,1,128,128,12,3,-5.0,3,1,3,0.0,4,"Harare, Mashonaland East, Zimbabwe",ZI,ZI04,-17.8178,31.0447,-2312291,4,"Harare, Mashonaland East, Zimbabwe",ZI,ZI04,-17.8178,31.0447,-2312291,4,"Harare, Mashonaland East, Zimbabwe",ZI,ZI04,-17.8178,31.0447,-2312291,20141003,http://article.wn.com/view/2014/10/03/Hundreds_to_be_left_homeless_as_Zimbabwe_bulldozes_illegal_s/
261268079,20130729,201307,2013,2013.5726,USA,CALIFORNIA,USA,null,null,null,null,null,null,null," ",null,null,null,null,null,null,null,null,null,0,0833,083,08,2,5.0,2,1,2,1.94174757281553,3,"San Francisco, California, United States",US,USCA,37.7749,-122.419,277593,0,null,null,null,null,null,null,3,"San Francisco, California, United States",US,USCA,37.7749,-122.419,277593,20130729,http://inthesetimes.com/article/15227/a_bill_of_rights_for_the_homeless/
261268080,20130729,201307,2013,2013.5726,USA,CALIFORNIA,USA,null,null,null,null,null,null,null," ",null,null,null,null,null,null,null,null,null,0,0833,083,08,2,5.0,1,1,1,1.94174757281553,3,"San Francisco, California, United States",US,USCA,37.7749,-122.419,277593,0,null,null,null,null,null,null,2,"California, United States",US,USCA,36.17,-119.746,CA,20130729,http://inthesetimes.com/article/15227/a_bill_of_rights_for_the_homeless/
